    0.9479    0.0090     1
    0.0000    0.9479     2
    0.4514    0.9931    0001
    0.9479   -2.4285     1
    0.0000   -1.4896     2
    0.4514   -1.4444    0001
    3.1146    0.0090     1
    2.1667    0.9479     2
    2.6181    0.9931    1011
    3.1146   -2.4285     1
    2.1667   -1.4896     2
    2.6181   -1.4444    1011
    5.2812    0.0090     1
    4.3333    0.9479     2
    4.7847    0.9931    1010
    5.2812   -2.4285     1
    4.3333   -1.4896     2
    4.7847   -1.4444    1010
