        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.14249E+03        0.095    0.088    0.100    0.077    0.120    0.000        0.177    0.210    0.192    0.176    0.214    0.000
  0.99997E-02  0.17441E+03        0.084    0.085    0.103    0.079    0.119    0.000        0.151    0.192    0.193    0.178    0.213    0.000
  0.19999E-01  0.20040E+03        0.082    0.085    0.106    0.080    0.119    0.001        0.144    0.188    0.195    0.179    0.210    0.000
  0.29999E-01  0.22168E+03        0.082    0.087    0.109    0.081    0.119    0.001        0.140    0.187    0.196    0.179    0.207    0.000
  0.39999E-01  0.23933E+03        0.082    0.089    0.112    0.082    0.119    0.001        0.138    0.187    0.197    0.179    0.204    0.000
  0.49999E-01  0.25424E+03        0.082    0.092    0.115    0.083    0.119    0.001        0.135    0.187    0.198    0.178    0.201    0.000
  0.59999E-01  0.26695E+03        0.083    0.094    0.118    0.084    0.118    0.002        0.133    0.187    0.199    0.177    0.198    0.000
  0.69999E-01  0.27775E+03        0.083    0.097    0.121    0.084    0.118    0.002        0.131    0.187    0.200    0.176    0.194    0.000
  0.79998E-01  0.28722E+03        0.083    0.100    0.125    0.085    0.117    0.002        0.129    0.188    0.201    0.174    0.191    0.000
  0.89998E-01  0.29552E+03        0.084    0.103    0.129    0.085    0.117    0.002        0.127    0.188    0.202    0.173    0.188    0.000
  0.99998E-01  0.30283E+03        0.084    0.106    0.132    0.085    0.116    0.003        0.125    0.188    0.203    0.171    0.184    0.000
  0.11000E+00  0.30924E+03        0.084    0.109    0.136    0.085    0.115    0.003        0.122    0.188    0.204    0.168    0.181    0.000
  0.12000E+00  0.31493E+03        0.084    0.112    0.140    0.085    0.114    0.003        0.120    0.188    0.205    0.166    0.178    0.000
  0.13000E+00  0.32006E+03        0.085    0.115    0.145    0.085    0.113    0.003        0.118    0.188    0.206    0.164    0.174    0.000
  0.14000E+00  0.32471E+03        0.085    0.118    0.149    0.085    0.112    0.003        0.116    0.187    0.207    0.161    0.171    0.000
  0.15000E+00  0.32901E+03        0.085    0.121    0.153    0.084    0.111    0.004        0.114    0.187    0.209    0.158    0.168    0.000
        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.15000E+00  0.39374E+03        0.086    0.121    0.153    0.084    0.111    0.004        0.116    0.188    0.209    0.158    0.168    0.000
  0.16000E+00  0.41202E+03        0.085    0.124    0.157    0.084    0.110    0.004        0.112    0.186    0.210    0.156    0.164    0.000
  0.17000E+00  0.43007E+03        0.085    0.127    0.162    0.083    0.108    0.004        0.109    0.185    0.211    0.153    0.161    0.000
  0.18000E+00  0.44666E+03        0.085    0.129    0.166    0.082    0.107    0.004        0.107    0.184    0.213    0.150    0.159    0.000
  0.19000E+00  0.46233E+03        0.085    0.132    0.171    0.081    0.105    0.005        0.105    0.183    0.214    0.148    0.156    0.000
  0.20000E+00  0.47711E+03        0.085    0.135    0.175    0.081    0.104    0.005        0.103    0.182    0.216    0.146    0.153    0.000
  0.21000E+00  0.49110E+03        0.085    0.137    0.179    0.080    0.102    0.005        0.102    0.181    0.218    0.144    0.151    0.000
  0.22000E+00  0.50431E+03        0.085    0.140    0.184    0.079    0.101    0.005        0.101    0.180    0.219    0.143    0.149    0.000
  0.23000E+00  0.51702E+03        0.085    0.142    0.188    0.079    0.099    0.005        0.100    0.180    0.221    0.142    0.146    0.000
  0.24000E+00  0.52888E+03        0.086    0.144    0.192    0.078    0.097    0.005        0.099    0.180    0.223    0.141    0.144    0.000
  0.25000E+00  0.54030E+03        0.086    0.146    0.195    0.078    0.096    0.006        0.099    0.179    0.225    0.141    0.143    0.000
  0.26000E+00  0.55114E+03        0.086    0.148    0.199    0.078    0.094    0.006        0.099    0.179    0.226    0.141    0.141    0.000
  0.26999E+00  0.56155E+03        0.086    0.150    0.202    0.077    0.092    0.006        0.099    0.179    0.228    0.141    0.140    0.000
  0.27999E+00  0.57148E+03        0.087    0.152    0.206    0.077    0.090    0.006        0.099    0.179    0.230    0.142    0.138    0.000
  0.28999E+00  0.58109E+03        0.087    0.154    0.208    0.077    0.089    0.006        0.099    0.179    0.232    0.142    0.137    0.000
  0.29999E+00  0.59034E+03        0.088    0.156    0.211    0.077    0.087    0.007        0.100    0.180    0.233    0.143    0.136    0.000
