        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.26384E+01        0.170    0.084    0.181    0.183    0.191    0.000        0.189    0.047    0.130    0.130    0.180    0.000
  0.23086E-01  0.26387E+01        0.171    0.085    0.177    0.187    0.192    0.000        0.185    0.046    0.127    0.129    0.178    0.000
  0.46172E-01  0.26374E+01        0.172    0.085    0.173    0.189    0.190    0.000        0.187    0.047    0.125    0.130    0.177    0.000
  0.69260E-01  0.26346E+01        0.172    0.086    0.167    0.190    0.186    0.000        0.192    0.048    0.124    0.132    0.179    0.000
  0.92347E-01  0.26332E+01        0.172    0.087    0.161    0.191    0.182    0.000        0.198    0.048    0.122    0.134    0.180    0.000
  0.11543E+00  0.26320E+01        0.172    0.087    0.155    0.192    0.179    0.000        0.202    0.049    0.120    0.136    0.182    0.000
  0.13851E+00  0.26306E+01        0.171    0.088    0.150    0.193    0.176    0.000        0.206    0.050    0.118    0.138    0.183    0.000
  0.16159E+00  0.26307E+01        0.171    0.089    0.147    0.196    0.175    0.000        0.207    0.049    0.116    0.138    0.183    0.000
  0.18465E+00  0.26304E+01        0.171    0.089    0.144    0.197    0.173    0.000        0.207    0.049    0.114    0.139    0.183    0.000
  0.20770E+00  0.26295E+01        0.170    0.090    0.142    0.198    0.172    0.000        0.209    0.049    0.114    0.139    0.184    0.000
  0.23074E+00  0.26283E+01        0.169    0.090    0.140    0.199    0.170    0.000        0.210    0.049    0.113    0.140    0.186    0.000
  0.25377E+00  0.26271E+01        0.168    0.090    0.139    0.200    0.169    0.000        0.212    0.049    0.112    0.140    0.189    0.000
  0.27678E+00  0.26265E+01        0.168    0.091    0.137    0.201    0.169    0.000        0.212    0.048    0.112    0.140    0.191    0.000
  0.29976E+00  0.26263E+01        0.167    0.092    0.137    0.203    0.169    0.000        0.211    0.048    0.111    0.140    0.192    0.000
  0.32271E+00  0.26255E+01        0.166    0.093    0.137    0.204    0.169    0.000        0.209    0.047    0.110    0.139    0.194    0.000
  0.34564E+00  0.26249E+01        0.165    0.093    0.137    0.206    0.170    0.000        0.207    0.046    0.110    0.137    0.195    0.000
  0.36854E+00  0.26240E+01        0.165    0.094    0.138    0.208    0.171    0.000        0.204    0.045    0.109    0.135    0.196    0.000
  0.39141E+00  0.26225E+01        0.164    0.094    0.139    0.208    0.172    0.000        0.203    0.044    0.109    0.134    0.199    0.000
  0.41425E+00  0.26212E+01        0.163    0.094    0.141    0.209    0.174    0.000        0.201    0.043    0.109    0.132    0.201    0.000
  0.43706E+00  0.26194E+01        0.163    0.095    0.142    0.211    0.174    0.000        0.199    0.042    0.108    0.130    0.202    0.000
  0.45984E+00  0.26174E+01        0.162    0.096    0.144    0.212    0.175    0.000        0.197    0.041    0.108    0.128    0.203    0.000
  0.48259E+00  0.26146E+01        0.162    0.097    0.146    0.214    0.175    0.000        0.196    0.040    0.107    0.125    0.203    0.000
  0.50531E+00  0.26115E+01        0.163    0.098    0.148    0.215    0.174    0.000        0.194    0.039    0.107    0.123    0.202    0.000
  0.52800E+00  0.26087E+01        0.163    0.100    0.151    0.218    0.175    0.000        0.191    0.037    0.106    0.120    0.200    0.000
  0.55066E+00  0.26044E+01        0.164    0.101    0.153    0.220    0.174    0.000        0.190    0.037    0.105    0.118    0.198    0.000
  0.57331E+00  0.26011E+01        0.165    0.103    0.156    0.223    0.174    0.000        0.187    0.036    0.104    0.115    0.196    0.000
  0.59594E+00  0.25975E+01        0.165    0.104    0.159    0.226    0.175    0.000        0.184    0.035    0.103    0.113    0.195    0.000
  0.61855E+00  0.25940E+01        0.166    0.106    0.162    0.229    0.176    0.000        0.181    0.034    0.102    0.110    0.193    0.000
  0.64116E+00  0.25901E+01        0.166    0.107    0.165    0.232    0.176    0.000        0.179    0.033    0.101    0.107    0.192    0.000
  0.66375E+00  0.25865E+01        0.166    0.108    0.168    0.235    0.177    0.000        0.176    0.032    0.101    0.105    0.190    0.000
  0.68635E+00  0.25835E+01        0.167    0.109    0.171    0.238    0.178    0.000        0.173    0.031    0.100    0.103    0.189    0.000
  0.70893E+00  0.25805E+01        0.167    0.110    0.174    0.241    0.178    0.000        0.171    0.031    0.099    0.100    0.188    0.000
  0.73152E+00  0.25777E+01        0.167    0.111    0.177    0.244    0.178    0.000        0.168    0.030    0.098    0.098    0.186    0.000
