    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0010    0.0010    0.0010    0.9958E+09    0.3094E+12    0.3104E+12    0.1663E+12    0.1441E+12
    0.0020    0.0020    0.0020    0.1767E+10    0.6216E+12    0.6234E+12    0.3257E+12    0.2977E+12
    0.0030    0.0030    0.0030    0.2545E+10    0.9344E+12    0.9369E+12    0.4823E+12    0.4546E+12
    0.0040    0.0040    0.0040    0.3329E+10    0.1247E+13    0.1251E+13    0.6373E+12    0.6134E+12
    0.0050    0.0050    0.0050    0.4119E+10    0.1560E+13    0.1564E+13    0.7908E+12    0.7737E+12
    0.0060    0.0060    0.0060    0.4914E+10    0.1873E+13    0.1878E+13    0.9431E+12    0.9349E+12
    0.0070    0.0070    0.0070    0.5714E+10    0.2186E+13    0.2191E+13    0.1094E+13    0.1097E+13
    0.0080    0.0080    0.0080    0.6519E+10    0.2498E+13    0.2504E+13    0.1245E+13    0.1259E+13
    0.0090    0.0090    0.0090    0.7328E+10    0.2809E+13    0.2816E+13    0.1394E+13    0.1422E+13
    0.0100    0.0100    0.0100    0.8142E+10    0.3120E+13    0.3128E+13    0.1543E+13    0.1585E+13
    0.0110    0.0110    0.0110    0.8960E+10    0.3431E+13    0.3440E+13    0.1691E+13    0.1748E+13
    0.0120    0.0120    0.0120    0.9783E+10    0.3741E+13    0.3750E+13    0.1839E+13    0.1912E+13
    0.0130    0.0130    0.0130    0.1061E+11    0.4050E+13    0.4061E+13    0.1986E+13    0.2075E+13
    0.0140    0.0140    0.0140    0.1144E+11    0.4359E+13    0.4370E+13    0.2132E+13    0.2239E+13
    0.0150    0.0150    0.0150    0.1228E+11    0.4667E+13    0.4679E+13    0.2278E+13    0.2402E+13
    0.0160    0.0160    0.0160    0.1312E+11    0.4975E+13    0.4988E+13    0.2423E+13    0.2565E+13
    0.0170    0.0170    0.0170    0.1396E+11    0.5282E+13    0.5296E+13    0.2567E+13    0.2728E+13
    0.0180    0.0180    0.0180    0.1481E+11    0.5588E+13    0.5603E+13    0.2711E+13    0.2891E+13
    0.0190    0.0190    0.0190    0.1567E+11    0.5893E+13    0.5909E+13    0.2855E+13    0.3054E+13
    0.0200    0.0200    0.0200    0.1653E+11    0.6198E+13    0.6215E+13    0.2998E+13    0.3217E+13
    0.0210    0.0210    0.0210    0.1739E+11    0.6502E+13    0.6520E+13    0.3141E+13    0.3379E+13
    0.0220    0.0220    0.0220    0.1825E+11    0.6806E+13    0.6824E+13    0.3283E+13    0.3541E+13
    0.0230    0.0230    0.0230    0.1913E+11    0.7108E+13    0.7128E+13    0.3424E+13    0.3703E+13
