          S1          S2          D1          D2      angS      angD      angN
  0.2050E+01 -0.1467E+03  0.1125E-07 -0.6815E-02    -89.20    -90.00    -88.98
 -0.1941E+01 -0.1466E+03 -0.5976E-03 -0.6812E-02    -90.76    -95.01    -93.75
 -0.6195E+01 -0.1462E+03 -0.1198E-02 -0.6790E-02    -92.43   -100.00    -97.41
 -0.1093E+02 -0.1454E+03 -0.1807E-02 -0.6740E-02    -94.30   -105.01   -101.09
 -0.1653E+02 -0.1441E+03 -0.2426E-02 -0.6662E-02    -96.54   -110.01   -106.89
 -0.2337E+02 -0.1415E+03 -0.3062E-02 -0.6563E-02    -99.38   -115.01   -114.77
 -0.3031E+02 -0.1376E+03 -0.3722E-02 -0.6446E-02   -102.42   -120.01   -122.67
 -0.3600E+02 -0.1335E+03 -0.4413E-02 -0.6301E-02   -105.09   -125.01   -128.81
 -0.4045E+02 -0.1296E+03 -0.5132E-02 -0.6114E-02   -107.34   -130.01   -133.21
 -0.4410E+02 -0.1260E+03 -0.5882E-02 -0.5880E-02   -109.30   -135.01   -136.83
 -0.4718E+02 -0.1225E+03 -0.6671E-02 -0.5595E-02   -111.07   -140.01   -139.99
 -0.4998E+02 -0.1190E+03 -0.7504E-02 -0.5253E-02   -112.79   -145.00   -142.86
 -0.5265E+02 -0.1152E+03 -0.8391E-02 -0.4844E-02   -114.55   -150.00   -145.79
 -0.5529E+02 -0.1111E+03 -0.9336E-02 -0.4354E-02   -116.46   -155.00   -148.52
 -0.5820E+02 -0.1061E+03 -0.1033E-01 -0.3760E-02   -118.75   -159.99   -151.28
 -0.6166E+02 -0.9926E+02 -0.1133E-01 -0.3036E-02   -121.85   -165.00   -155.05
 -0.6611E+02 -0.8820E+02 -0.1225E-01 -0.2159E-02   -126.85   -170.00   -160.82
 -0.7205E+02 -0.6157E+02 -0.1291E-01 -0.1130E-02   -139.48   -175.00   -177.15
 -0.7516E+02  0.5547E+01 -0.1330E-01 -0.4614E-06    175.78   -180.00   -155.79
 -0.7286E+02  0.6851E+02 -0.1268E-01  0.1109E-02    136.76    175.00    169.54
 -0.6702E+02  0.9111E+02 -0.1204E-01  0.2122E-02    126.34    170.00    159.99
 -0.6272E+02  0.1015E+03 -0.1112E-01  0.2980E-02    121.73    165.00    154.40
 -0.5931E+02  0.1080E+03 -0.1014E-01  0.3690E-02    118.78    160.01    150.62
 -0.5644E+02  0.1128E+03 -0.9171E-02  0.4275E-02    116.57    155.01    147.81
 -0.5381E+02  0.1168E+03 -0.8247E-02  0.4761E-02    114.73    150.00    144.93
 -0.5118E+02  0.1204E+03 -0.7382E-02  0.5169E-02    113.03    145.00    141.88
 -0.4842E+02  0.1237E+03 -0.6569E-02  0.5513E-02    111.38    139.99    138.95
 -0.4544E+02  0.1269E+03 -0.5800E-02  0.5801E-02    109.69    134.99    135.89
 -0.4199E+02  0.1303E+03 -0.5068E-02  0.6042E-02    107.86    129.99    132.51
 -0.3789E+02  0.1338E+03 -0.4366E-02  0.6237E-02    105.81    124.99    128.50
 -0.3282E+02  0.1375E+03 -0.3690E-02  0.6392E-02    103.43    119.99    123.09
 -0.2671E+02  0.1410E+03 -0.3038E-02  0.6517E-02    100.73    114.99    116.06
 -0.2033E+02  0.1436E+03 -0.2408E-02  0.6622E-02     98.06    109.98    108.62
 -0.1489E+02  0.1451E+03 -0.1796E-02  0.6706E-02     95.86    104.99    102.61
