        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.22154E+03        0.141    0.154    0.108    0.156    0.111    0.003        0.494    0.572    0.375    0.591    0.371    0.000
  0.49992E-02  0.23659E+03        0.124    0.142    0.102    0.142    0.103    0.003        0.418    0.494    0.339    0.503    0.335    0.000
  0.99984E-02  0.24393E+03        0.116    0.137    0.099    0.135    0.101    0.003        0.390    0.461    0.324    0.465    0.319    0.000
  0.14998E-01  0.24967E+03        0.111    0.133    0.096    0.130    0.098    0.003        0.368    0.436    0.313    0.438    0.309    0.000
  0.19997E-01  0.25441E+03        0.107    0.129    0.094    0.126    0.096    0.003        0.352    0.416    0.304    0.415    0.300    0.000
  0.24996E-01  0.25863E+03        0.104    0.126    0.093    0.122    0.095    0.003        0.338    0.400    0.297    0.396    0.292    0.000
  0.29995E-01  0.26242E+03        0.101    0.124    0.092    0.119    0.093    0.003        0.327    0.386    0.291    0.380    0.286    0.000
  0.34994E-01  0.26590E+03        0.098    0.121    0.090    0.116    0.092    0.003        0.318    0.374    0.285    0.366    0.280    0.000
  0.39993E-01  0.26914E+03        0.096    0.119    0.089    0.113    0.091    0.003        0.310    0.363    0.281    0.353    0.275    0.000
  0.44992E-01  0.27220E+03        0.095    0.117    0.088    0.111    0.090    0.003        0.303    0.353    0.276    0.341    0.271    0.000
  0.49991E-01  0.27515E+03        0.093    0.115    0.088    0.108    0.089    0.002        0.296    0.344    0.272    0.330    0.266    0.000
  0.54990E-01  0.27781E+03        0.092    0.114    0.087    0.106    0.088    0.002        0.291    0.336    0.269    0.321    0.263    0.000
  0.59990E-01  0.28041E+03        0.090    0.112    0.086    0.104    0.087    0.002        0.286    0.329    0.266    0.312    0.259    0.000
  0.64989E-01  0.28279E+03        0.089    0.111    0.086    0.102    0.086    0.002        0.281    0.322    0.263    0.303    0.256    0.000
  0.69988E-01  0.28510E+03        0.088    0.109    0.085    0.101    0.085    0.002        0.277    0.316    0.261    0.296    0.253    0.000
  0.74987E-01  0.28731E+03        0.087    0.108    0.084    0.099    0.085    0.002        0.273    0.310    0.258    0.289    0.250    0.000
  0.79986E-01  0.28940E+03        0.087    0.107    0.084    0.097    0.084    0.002        0.270    0.304    0.256    0.281    0.248    0.000
  0.84985E-01  0.29149E+03        0.086    0.106    0.083    0.096    0.083    0.002        0.267    0.300    0.254    0.276    0.246    0.000
  0.89984E-01  0.29348E+03        0.085    0.105    0.083    0.094    0.083    0.002        0.264    0.295    0.253    0.270    0.244    0.000
  0.94983E-01  0.29539E+03        0.084    0.104    0.082    0.093    0.082    0.002        0.261    0.291    0.251    0.264    0.242    0.000
  0.99982E-01  0.29722E+03        0.084    0.103    0.082    0.092    0.082    0.002        0.258    0.286    0.249    0.259    0.240    0.000
        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.99982E-01  0.27573E+03        0.106    0.129    0.104    0.116    0.104    0.002        0.283    0.317    0.267    0.290    0.244    0.000
